,model,cross_k,threshold,precision,recall,AUC ROC
76,RF,2,0.01,0.3158813263525305,0.3158813263525305,0.6865377063077875
77,GB,2,0.5,0.6833379259667494,0.6833379259667494,0.6578414205897538
78,GB,2,0.3,0.6552769357949848,0.6552769357949848,0.6578414205897538
79,GB,2,0.2,0.6029668411867365,0.6029668411867365,0.6578414205897538
80,GB,2,0.1,0.5066133921190411,0.5066133921190411,0.6578414205897538
81,GB,2,0.05,0.4224763479379076,0.4224763479379076,0.6578414205897538
82,GB,2,0.02,0.34554973821989526,0.34554973821989526,0.6578414205897538
83,GB,2,0.01,0.32175989712501146,0.32175989712501146,0.6578414205897538
84,KNN,3,0.5,0.6580769667385629,0.6580769667385629,0.6168156409988692
85,KNN,3,0.3,0.5086161879895561,0.5086161879895561,0.6168156409988692
86,KNN,3,0.2,0.41087524123055963,0.41087524123055963,0.6168156409988692
87,KNN,3,0.1,0.32605290044272905,0.32605290044272905,0.6168156409988692
88,KNN,3,0.05,0.32605290044272905,0.32605290044272905,0.6168156409988692
89,KNN,3,0.02,0.32605290044272905,0.32605290044272905,0.6168156409988692
90,KNN,3,0.01,0.32605290044272905,0.32605290044272905,0.6168156409988692
91,DT,3,0.5,0.636916789646952,0.636916789646952,0.5857229513907338
92,DT,3,0.3,0.6037461686911114,0.6037461686911114,0.5857229513907338
93,DT,3,0.2,0.5767283460097627,0.5767283460097627,0.5857229513907338
94,DT,3,0.1,0.5365421727778409,0.5365421727778409,0.5857229513907338
95,DT,3,0.05,0.5028720626631854,0.5028720626631854,0.5857229513907338
96,DT,3,0.02,0.4910659552730162,0.4910659552730162,0.5857229513907338
97,DT,3,0.01,0.48806902032012717,0.48806902032012717,0.5857229513907338
98,LR,3,0.5,0.7157452605290044,0.7157452605290044,0.6818350042430565
99,LR,3,0.3,0.6153479396072199,0.6153479396072199,0.6818350042430565
100,LR,3,0.2,0.5019866046089226,0.5019866046089226,0.6818350042430565
101,LR,3,0.1,0.3450334884776933,0.3450334884776933,0.6818350042430565
102,LR,3,0.05,0.29033942558746734,0.29033942558746734,0.6818350042430565
103,LR,3,0.02,0.2845271881030764,0.2845271881030764,0.6818350042430565
104,LR,3,0.01,0.28409581110228177,0.28409581110228177,0.6818350042430565
105,SVM,3,-1.0,0.3030309910318992,0.3030309910318992,0.0
106,SVM,3,-0.8,0.36687478714950617,0.36687478714950617,0.0
107,SVM,3,-0.6,0.48425473947099557,0.48425473947099557,0.0
108,SVM,3,-0.4,0.6021341809512998,0.6021341809512998,0.0
109,SVM,3,-0.3,0.650017028039505,0.650017028039505,0.0
110,SVM,3,-0.1,0.708321035304802,0.708321035304802,0.0
111,SVM,3,0.0,0.718038369849018,0.718038369849018,0.0
112,RF,3,0.5,0.720127142694971,0.720127142694971,0.6877687494235983
113,RF,3,0.3,0.5857872630264502,0.5857872630264502,0.6877687494235983
114,RF,3,0.2,0.4466341241911681,0.4466341241911681,0.6877687494235983
115,RF,3,0.1,0.29653763196730615,0.29653763196730615,0.6877687494235983
116,RF,3,0.05,0.28409581110228177,0.28409581110228177,0.6877687494235983
117,RF,3,0.02,0.28409581110228177,0.28409581110228177,0.6877687494235983
118,RF,3,0.01,0.28409581110228177,0.28409581110228177,0.6877687494235983
119,GB,3,0.5,0.6812351004654331,0.6812351004654331,0.6564364979741125
120,GB,3,0.3,0.6042683619025996,0.6042683619025996,0.6564364979741125
121,GB,3,0.2,0.5393347712566693,0.5393347712566693,0.6564364979741125
122,GB,3,0.1,0.4433647406061982,0.4433647406061982,0.6564364979741125
123,GB,3,0.05,0.36823703030991034,0.36823703030991034,0.6564364979741125
124,GB,3,0.02,0.3055284368259734,0.3055284368259734,0.6564364979741125
125,GB,3,0.01,0.2874333068452719,0.2874333068452719,0.6564364979741125
